,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
12/17/20,,,,18501.037060700055,0.00011106320350962089,81510.96282823676
12/18/20,,,,18501.037055391418,0.00010256627692724045,81510.96284204233
12/19/20,,,,18501.03705048625,9.47151330509667e-05,81510.96285479865
12/20/20,,,,18501.037045961275,8.747252630971011e-05,81510.96286656623
12/21/20,,,,18501.03704179312,8.080103407189299e-05,81510.96287740588
12/22/20,,,,18501.037037958286,7.466305664544952e-05,81510.96288737869
12/23/20,,,,18501.037034433175,6.902081727782576e-05,81510.96289654603
12/24/20,,,,18501.03703119408,6.383636215597965e-05,81510.9629049696
12/25/20,,,,18501.037028217164,5.907156040638092e-05,81510.9629127113
12/26/20,,,,18501.03702547851,5.468810409501127e-05,81510.96291983342
12/27/20,,,,18501.03702295406,5.0647508227364224e-05,81510.96292639847
12/28/20,,,,18501.037020619664,4.691111074844516e-05,81510.96293246925
12/29/20,,,,18501.03701845106,4.3440072542771355e-05,81510.9629381089
12/30/20,,,,18501.037016423867,4.0195377434371914e-05,81510.96294338079
12/31/20,,,,18501.03701451975,3.7147673595620405e-05,81510.96294833261
01/01/21,,,,18501.037012742618,3.4303225309244975e-05,81510.96295295419
01/02/21,,,,18501.03701108944,3.165717554243871e-05,81510.96295725342
01/03/21,,,,18501.037009555945,2.920268213784666e-05,81510.96296124141
01/04/21,,,,18501.037008137544,2.6932408947429684e-05,81510.96296493008
01/05/21,,,,18501.037006829345,2.48385258324644e-05,81510.96296833217
01/06/21,,,,18501.03700562615,2.291270866354322e-05,81510.96297146118
01/07/21,,,,18501.037004522448,2.114613932057435e-05,81510.96297433144
01/08/21,,,,18501.03700351242,1.952950569278176e-05,81510.96297695811
01/09/21,,,,18501.037002589943,1.805300167870521e-05,81510.9629793571
01/10/21,,,,18501.03700174858,1.6706327186200248e-05,81510.96298154513
01/11/21,,,,18501.037000981585,1.5478688132438208e-05,81510.96298353976
01/12/21,,,,18501.03700028191,1.4358796443906205e-05,81510.96298535932
01/13/21,,,,18501.03699964219,1.3334870056407117e-05,81510.96298702297
01/14/21,,,,18501.036999054755,1.2394632915059633e-05,81510.96298855064
01/15/21,,,,18501.03699851163,1.1525314974298205e-05,81510.96298996308
01/16/21,,,,18501.03699800453,1.0713652197873098e-05,81510.96299128185
01/17/21,,,,18501.03699752485,9.945886558850313e-06,81510.9629925293
01/18/21,,,,18501.03699706377,9.20788915449339e-06,81510.96299372838
01/19/21,,,,18501.0369966282,8.510730076227322e-06,81510.9629948611
01/20/21,,,,18501.03699622562,7.866359057468205e-06,81510.96299590805
